rpm,v_inf,inflow_angle_deg,inflow_azimuth_deg,Fx_true,Fy_true,Fz_true,Mx_true,My_true,Mz_true,J,Ct,Cq,Cp,eta,CT,CQ,CP,FM,thrust_per_power,disk_loading,thrust,torque,power_shaft,v_induced_mean,tip_mach
27309.072,0,90,0,-4.33680869e-19,1.73472348e-18,0.0902211865,2.71050543e-20,2.71050543e-20,-0.00032601777,0,0.374701974,0.0433835365,0.272586799,0,0.0483388545,0.011193485,0.011193485,0.67137353,0.0967679859,117.931851,0.0902211865,0.00032601777,0.9323454,7.79267448,0.131142982
27309.072,0.5,90,0,-0.000593232808,-5.18486733e-05,0.0902817764,-1.45555745e-05,-1.23556192e-05,-0.000325999758,2.15526859e-18,0.374953613,0.0433811395,0.272571739,2.96481855e-18,0.0483713175,0.0111928665,0.0111928665,0.672087088,0.0968383227,118.011051,0.0902817764,0.000325999758,0.932293888,7.7866593,0.1326123
27309.072,1,90,0,-0.00118868489,-0.000104260247,0.0904545974,-2.92052611e-05,-2.4660666e-05,-0.00032592445,4.31053719e-18,0.375671365,0.0433711183,0.272508773,5.94236056e-18,0.0484639118,0.0111902809,0.0111902809,0.674173553,0.0970461127,118.236952,0.0904545974,0.00032592445,0.932078523,7.76832475,0.134081618
27309.072,1.5,90,0,-0.00178444446,-0.000151813442,0.0907132758,-4.39249722e-05,-3.66904587e-05,-0.000325730082,6.46580578e-18,0.376745694,0.0433452535,0.27234626,8.94436549e-18,0.0486025069,0.0111836075,0.0111836075,0.677471598,0.0973817158,118.575081,0.0907132758,0.000325730082,0.931522668,7.73685521,0.135550936
27309.072,2,90,0,-0.00237574942,-0.000187635582,0.0910646599,-5.86338671e-05,-4.82013042e-05,-0.000325451975,8.62107437e-18,0.378205045,0.0433082455,0.272113732,1.19822465e-17,0.0487907721,0.011174059,0.011174059,0.68199404,0.0978424681,119.03439,0.0910646599,0.000325451975,0.930727338,7.69291282,0.137020254
27309.072,2.5,90,0,-0.00296678325,-0.000215855725,0.0915231704,-7.3488711e-05,-5.92382763e-05,-0.000325147992,1.0776343e-17,0.380109307,0.0432677941,0.271859568,1.50672948e-17,0.0490364336,0.011163622,0.011163622,0.6877937,0.0984270389,119.633728,0.0915231704,0.000325147992,0.929858008,7.6375869,0.138489571
27309.072,3,90,0,-0.00355532636,-0.000228200965,0.0920636385,-8.84445736e-05,-6.94314297e-05,-0.00032477875,1.29316116e-17,0.382353951,0.0432186587,0.271550841,1.82082027e-17,0.0493260065,0.0111509445,0.0111509445,0.694683978,0.0991208391,120.340197,0.0920636385,0.00032477875,0.92880205,7.57063097,0.139958889
27309.072,3.5,90,0,-0.00413073698,-0.000226615871,0.0926882005,-0.00010353927,-7.87475907e-05,-0.000324399945,1.50868802e-17,0.38494785,0.0431682507,0.271234119,2.14119894e-17,0.0496606353,0.0111379386,0.0111379386,0.702584541,0.0999098068,121.156587,0.0926882005,0.000324399945,0.927718744,7.49358695,0.141428207
27309.072,4,90,0,-0.0046952456,-0.000207473212,0.0933840013,-0.000118856279,-8.68958535e-05,-0.000324018283,1.72421487e-17,0.387837614,0.0431174626,0.270915007,2.46835858e-17,0.0500334326,0.0111248346,0.0111248346,0.711347627,0.100778387,122.066097,0.0933840013,0.000324018283,0.926627268,7.4069461,0.142897525
27309.072,4.5,90,0,-0.00525776841,-0.000168973426,0.0941143446,-0.000134459581,-9.35626614e-05,-0.000323565646,1.93974173e-17,0.390870838,0.0430572297,0.270536553,2.80253617e-17,0.0504247371,0.0111092938,0.0111092938,0.720715751,0.101708642,123.020759,0.0941143446,0.000323565646,0.925332817,7.30987303,0.144366842
