time,Fx_true,Fy_true,Fz_true,Mx_true,My_true,Mz_true,rpm,psi_deg,omega_dot,thrust,torque_aero,v_induced_mean,v_inf,inflow_angle_deg
0.000175,8.67361738e-19,2.60208521e-18,0.0902211864,2.71050543e-20,5.42101086e-20,-0.00032601777,27309.072,28.6745256,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00018,-8.67361738e-19,1.73472348e-18,0.0902211864,-2.71050543e-20,4.06575815e-20,-0.00032601777,27309.072,29.4937977,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000185,0,-1.73472348e-18,0.0902211864,5.42101086e-20,-5.42101086e-20,-0.00032601777,27309.072,30.3130699,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00019,-8.67361738e-19,3.46944695e-18,0.0902211864,-5.42101086e-20,9.48676901e-20,-0.00032601777,27309.072,31.132342,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000195,8.67361738e-19,8.67361738e-19,0.0902211864,0,5.42101086e-20,-0.00032601777,27309.072,31.9516142,0,0.0902211864,0.00032601777,7.79267449,0,0
0.0002,0,0,0.0902211864,0,1.35525272e-20,-0.00032601777,27309.072,32.7708863,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000205,3.46944695e-18,-1.73472348e-18,0.0902211864,1.62630326e-19,-4.06575815e-20,-0.00032601777,27309.072,33.5901585,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00021,-3.46944695e-18,2.60208521e-18,0.0902211864,-8.13151629e-20,1.21972744e-19,-0.00032601777,27309.072,34.4094307,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000215,1.73472348e-18,1.73472348e-18,0.0902211864,5.42101086e-20,8.13151629e-20,-0.00032601777,27309.072,35.2287028,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00022,-1.73472348e-18,1.73472348e-18,0.0902211864,0,5.42101086e-20,-0.00032601777,27309.072,36.047975,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000225,3.46944695e-18,-1.73472348e-18,0.0902211864,1.08420217e-19,-2.71050543e-20,-0.00032601777,27309.072,36.8672471,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00023,-1.73472348e-18,3.46944695e-18,0.0902211864,-1.08420217e-19,1.08420217e-19,-0.00032601777,27309.072,37.6865193,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000235,1.73472348e-18,1.73472348e-18,0.0902211864,2.71050543e-20,8.13151629e-20,-0.00032601777,27309.072,38.5057915,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00024,-8.67361738e-19,8.67361738e-19,0.0902211864,0,0,-0.00032601777,27309.072,39.3250636,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000245,3.46944695e-18,-8.67361738e-19,0.0902211864,1.35525272e-19,-2.71050543e-20,-0.00032601777,27309.072,40.1443358,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00025,-3.46944695e-18,4.33680869e-18,0.0902211864,-1.08420217e-19,1.08420217e-19,-0.00032601777,27309.072,40.9636079,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000255,-8.67361738e-19,1.73472348e-18,0.0902211864,2.71050543e-20,8.13151629e-20,-0.00032601777,27309.072,41.7828801,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00026,-8.67361738e-19,8.67361738e-19,0.0902211864,-2.71050543e-20,2.71050543e-20,-0.00032601777,27309.072,42.6021523,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000265,4.33680869e-18,8.67361738e-19,0.0902211864,1.62630326e-19,-2.71050543e-20,-0.00032601777,27309.072,43.4214244,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00027,-3.46944695e-18,2.60208521e-18,0.0902211864,-8.13151629e-20,1.08420217e-19,-0.00032601777,27309.072,44.2406966,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000275,0,8.67361738e-19,0.0902211864,2.71050543e-20,2.71050543e-20,-0.00032601777,27309.072,45.0599687,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00028,0,0,0.0902211864,2.71050543e-20,0,-0.00032601777,27309.072,45.8792409,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000285,4.33680869e-18,0,0.0902211864,1.08420217e-19,0,-0.00032601777,27309.072,46.698513,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00029,-4.33680869e-18,3.46944695e-18,0.0902211864,-5.42101086e-20,1.08420217e-19,-0.00032601777,27309.072,47.5177852,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000295,1.73472348e-18,3.46944695e-18,0.0902211864,8.13151629e-20,1.08420217e-19,-0.00032601777,27309.072,48.3370574,0,0.0902211864,0.00032601777,7.79267449,0,0
0.0003,0,0,0.0902211864,-5.42101086e-20,0,-0.00032601777,27309.072,49.1563295,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000305,1.73472348e-18,-2.60208521e-18,0.0902211864,0,-1.08420217e-19,-0.00032601777,27309.072,49.9756017,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00031,0,6.07153217e-18,0.0902211864,2.71050543e-20,1.8973538e-19,-0.00032601777,27309.072,50.7948738,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000315,2.60208521e-18,2.60208521e-18,0.0902211864,-5.42101086e-20,5.42101086e-20,-0.00032601777,27309.072,51.614146,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00032,8.67361738e-19,8.67361738e-19,0.0902211864,-2.71050543e-20,5.42101086e-20,-0.00032601777,27309.072,52.4334182,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000325,8.67361738e-19,-2.60208521e-18,0.0902211864,0,-1.35525272e-19,-0.00032601777,27309.072,53.2526903,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00033,-8.67361738e-19,5.20417043e-18,0.0902211864,0,1.62630326e-19,-0.00032601777,27309.072,54.0719625,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000335,0,3.46944695e-18,0.0902211864,-5.42101086e-20,5.42101086e-20,-0.00032601777,27309.072,54.8912346,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00034,-8.67361738e-19,0,0.0902211864,-5.42101086e-20,0,-0.00032601777,27309.072,55.7105068,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000345,8.67361738e-19,-1.73472348e-18,0.0902211864,2.71050543e-20,-2.71050543e-20,-0.00032601777,27309.072,56.529779,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00035,0,0,0.0902211864,2.71050543e-20,8.13151629e-20,-0.00032601777,27309.072,57.3490511,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000355,-8.67361738e-19,8.67361738e-19,0.0902211864,2.71050543e-20,5.42101086e-20,-0.00032601777,27309.072,58.1683233,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00036,0,-1.73472348e-18,0.0902211864,-5.42101086e-20,2.71050543e-20,-0.00032601777,27309.072,58.9875954,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000365,1.73472348e-18,-2.60208521e-18,0.0902211864,0,-1.08420217e-19,-0.00032601777,27309.072,59.8068676,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00037,8.67361738e-19,3.46944695e-18,0.0902211864,0,1.08420217e-19,-0.00032601777,27309.072,60.6261397,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000375,1.30104261e-18,8.67361738e-19,0.0902211864,5.42101086e-20,8.13151629e-20,-0.00032601777,27309.072,61.4454119,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00038,-8.67361738e-19,-8.67361738e-19,0.0902211864,0,-2.71050543e-20,-0.00032601777,27309.072,62.2646841,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000385,-1.30104261e-18,6.07153217e-18,0.0902211864,-2.71050543e-20,1.8973538e-19,-0.00032601777,27309.072,63.0839562,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00039,8.67361738e-19,3.46944695e-18,0.0902211864,0,1.08420217e-19,-0.00032601777,27309.072,63.9032284,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000395,8.67361738e-19,8.67361738e-19,0.0902211864,5.42101086e-20,5.42101086e-20,-0.00032601777,27309.072,64.7225005,0,0.0902211864,0.00032601777,7.79267449,0,0
0.0004,-8.67361738e-19,-8.67361738e-19,0.0902211864,-2.71050543e-20,-2.71050543e-20,-0.00032601777,27309.072,65.5417727,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000405,1.73472348e-18,-4.33680869e-18,0.0902211864,8.13151629e-20,-1.08420217e-19,-0.00032601777,27309.072,66.3610449,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00041,0,3.46944695e-18,0.0902211864,-2.71050543e-20,1.08420217e-19,-0.00032601777,27309.072,67.180317,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000415,-1.30104261e-18,8.67361738e-19,0.0902211864,2.71050543e-20,5.42101086e-20,-0.00032601777,27309.072,67.9995892,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00042,-8.67361738e-19,-8.67361738e-19,0.0902211864,-2.71050543e-20,0,-0.00032601777,27309.072,68.8188613,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000425,-3.46944695e-18,5.20417043e-18,0.0902211864,-2.71050543e-20,1.62630326e-19,-0.00032601777,27309.072,69.6381335,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00043,-1.30104261e-18,2.60208521e-18,0.0902211864,2.71050543e-20,1.08420217e-19,-0.00032601777,27309.072,70.4574057,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000435,-8.67361738e-19,8.67361738e-19,0.0902211864,-5.42101086e-20,2.71050543e-20,-0.00032601777,27309.072,71.2766778,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00044,-2.16840434e-18,-1.73472348e-18,0.0902211864,-2.71050543e-20,-2.71050543e-20,-0.00032601777,27309.072,72.09595,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000445,1.30104261e-18,-2.60208521e-18,0.0902211864,6.77626358e-20,-1.08420217e-19,-0.00032601777,27309.072,72.9152221,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00045,-8.67361738e-19,1.73472348e-18,0.0902211864,1.35525272e-20,1.08420217e-19,-0.00032601777,27309.072,73.7344943,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000455,8.67361738e-19,1.73472348e-18,0.0902211864,1.35525272e-20,5.42101086e-20,-0.00032601777,27309.072,74.5537664,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00046,-8.67361738e-19,-8.67361738e-19,0.0902211864,-4.06575815e-20,-2.71050543e-20,-0.00032601777,27309.072,75.3730386,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000465,-3.25260652e-18,6.07153217e-18,0.0902211864,-6.77626358e-20,2.16840434e-19,-0.00032601777,27309.072,76.1923108,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00047,-4.33680869e-19,2.60208521e-18,0.0902211864,-2.71050543e-20,8.13151629e-20,-0.00032601777,27309.072,77.0115829,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000475,-2.16840434e-18,2.60208521e-18,0.0902211864,0,8.13151629e-20,-0.00032601777,27309.072,77.8308551,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00048,-1.51788304e-18,-8.67361738e-19,0.0902211864,-5.42101086e-20,-5.42101086e-20,-0.00032601777,27309.072,78.6501272,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000485,8.67361738e-19,-3.46944695e-18,0.0902211864,0,-1.08420217e-19,-0.00032601777,27309.072,79.4693994,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00049,-2.16840434e-19,3.46944695e-18,0.0902211864,5.42101086e-20,1.08420217e-19,-0.00032601777,27309.072,80.2886716,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000495,-6.50521303e-19,0,0.0902211864,0,2.71050543e-20,-0.00032601777,27309.072,81.1079437,0,0.0902211864,0.00032601777,7.79267449,0,0
0.0005,-4.33680869e-19,0,0.0902211864,-5.42101086e-20,0,-0.00032601777,27309.072,81.9272159,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000505,-2.38524478e-18,6.9388939e-18,0.0902211864,-8.80914265e-20,2.43945489e-19,-0.00032601777,27309.072,82.746488,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00051,-4.33680869e-19,3.46944695e-18,0.0902211864,2.71050543e-20,1.08420217e-19,-0.00032601777,27309.072,83.5657602,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000515,-1.30104261e-18,1.73472348e-18,0.0902211864,-2.71050543e-20,0,-0.00032601777,27309.072,84.3850324,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00052,-1.19262239e-18,-1.73472348e-18,0.0902211864,-2.71050543e-20,0,-0.00032601777,27309.072,85.2043045,0,0.0902211864,0.00032601777,7.79267449,0,0
