rpm,v_inf,inflow_angle_deg,inflow_azimuth_deg,Fx_true,Fy_true,Fz_true,Mx_true,My_true,Mz_true,J,Ct,Cq,Cp,eta,CT,CQ,CP,FM,thrust_per_power,disk_loading,thrust,torque,power_shaft,v_induced_mean,tip_mach
27309.072,0,30,0,-4.33680869e-19,1.73472348e-18,0.0902211865,2.71050543e-20,2.71050543e-20,-0.00032601777,0,0.374701974,0.0433835365,0.272586799,0,0.0483388545,0.011193485,0.011193485,0.67137353,0.0967679859,117.931851,0.0902211865,0.00032601777,0.9323454,7.79267448,0.131142982
27309.072,0.5,30,0,-0.000304855272,-3.44726362e-05,0.0888123212,-7.57305572e-06,-5.92503305e-06,-0.0003256134,0.0304825417,0.368850748,0.0433297265,0.272248701,0.0412986664,0.0475840104,0.0111796013,0.0111796013,0.656523456,0.0953751846,116.090265,0.0888123212,0.0003256134,0.931188983,7.53084069,0.13188378
27309.072,1,30,0,-0.00060907901,-7.04094524e-05,0.0872854684,-1.53490655e-05,-1.10099188e-05,-0.000324825941,0.0609650833,0.362509502,0.0432249385,0.271590298,0.0813741216,0.0467659507,0.0111525647,0.0111525647,0.641216812,0.0939627421,114.094452,0.0872854684,0.000324825941,0.928937007,7.26674766,0.132636718
27309.072,1.5,30,0,-0.000907479336,-0.000103213726,0.0858155376,-2.32436875e-05,-1.52262765e-05,-0.000324166639,0.091447625,0.356404661,0.0431372044,0.271039049,0.120249683,0.0459783888,0.0111299283,0.0111299283,0.626358909,0.0925682492,112.173045,0.0858155376,0.000324166639,0.927051536,7.0081701,0.133401589
27309.072,2,30,0,-0.00122723472,-0.000146122443,0.0842358477,-3.17152461e-05,-1.88614189e-05,-0.000323217819,0.121930167,0.349843974,0.0430109439,0.270245731,0.157843508,0.0451320199,0.0110973515,0.0110973515,0.61093192,0.0911309917,110.108167,0.0842358477,0.000323217819,0.9243381,6.74854883,0.134178191
27309.072,2.5,30,0,-0.00156910138,-0.000191774429,0.0825593501,-4.05702283e-05,-2.18237154e-05,-0.00032203386,0.152412708,0.342881231,0.0428533933,0.269255811,0.194088502,0.0442337833,0.0110567015,0.0110567015,0.594963805,0.0896456392,107.916747,0.0825593501,0.00032203386,0.920952217,6.4873716,0.134966321
27309.072,3,30,0,-0.00196269067,-0.000246403355,0.0806334729,-4.99626067e-05,-2.42480011e-05,-0.000320130731,0.18289525,0.334882777,0.0426001418,0.267664585,0.22882545,0.0432019337,0.0109913595,0.0109913595,0.577681377,0.0880749568,105.399353,0.0806334729,0.000320130731,0.915509649,6.21606359,0.135765778
27309.072,3.5,30,0,-0.00236404565,-0.000299228961,0.0786316164,-5.94432491e-05,-2.60456533e-05,-0.00031791859,0.213377792,0.32656877,0.0423057698,0.265814991,0.262146701,0.0421293757,0.0109154079,0.0109154079,0.56017351,0.0864859819,102.782644,0.0786316164,0.00031791859,0.909183369,5.94558933,0.136576362
27309.072,4,30,0,-0.00277058511,-0.000347976477,0.076573442,-6.89725346e-05,-2.72392005e-05,-0.000315440068,0.243860333,0.318020867,0.0419759503,0.263742674,0.294046744,0.0410266437,0.0108303104,0.0108303104,0.54255414,0.0848839834,100.092319,0.076573442,0.000315440068,0.902095295,5.67758763,0.137397878
27309.072,4.5,30,0,-0.0031811708,-0.000392815533,0.074461126,-7.85102965e-05,-2.78787314e-05,-0.000312691284,0.274342875,0.309248105,0.0416101666,0.261444387,0.324505012,0.0398949036,0.0107359338,0.0107359338,0.524833211,0.083268025,97.3312231,0.074461126,0.000312691284,0.894234324,5.41269869,0.13823013
