rpm,v_inf,inflow_angle_deg,inflow_azimuth_deg,Fx_true,Fy_true,Fz_true,Mx_true,My_true,Mz_true,J,Ct,Cq,Cp,eta,CT,CQ,CP,FM,thrust_per_power,disk_loading,thrust,torque,power_shaft,v_induced_mean,tip_mach
23000,0,0,0,0,4.33680869e-19,0.0636336792,-1.35525272e-20,4.06575815e-20,-0.000234002431,0,0.372582706,0.0438997715,0.2758304,0,0.0480654559,0.0113266799,0.0113266799,0.657857715,0.112904229,83.1782187,0.0636336792,0.000234002431,0.563607578,6.54195375,0.110450059
24000,0,0,0,-4.33680869e-19,1.73472348e-18,0.0693836226,2.71050543e-20,6.77626358e-20,-0.000254012583,0,0.37310049,0.0437653403,0.274985743,0,0.0481322531,0.011291995,0.011291995,0.661254457,0.108683066,90.694208,0.0693836226,0.000254012583,0.638403251,6.83178108,0.115252235
25000,0,0,0,0,4.33680869e-19,0.0753871049,-4.06575815e-20,2.71050543e-20,-0.000274834447,0,0.3736013,0.0436403988,0.274200712,0,0.0481968608,0.0112597586,0.0112597586,0.66448327,0.104774904,98.5416084,0.0753871049,0.000274834447,0.7195149,7.12186748,0.120054411
26000,0,0,0,-4.33680869e-19,1.30104261e-18,0.0816446685,2.71050543e-20,4.06575815e-20,-0.00029646854,0,0.37408687,0.0435240681,0.273469785,0,0.0482595023,0.0112297439,0.0112297439,0.667558622,0.101145659,106.721129,0.0816446685,0.00029646854,0.807198936,7.41221027,0.124856588
27000,0,0,0,0,2.16840434e-18,0.0881568561,0,1.35525272e-20,-0.000318915493,0,0.374558706,0.0434155844,0.272788162,0,0.0483203721,0.0112017537,0.0112017537,0.670493214,0.0977660558,115.233479,0.0881568561,0.000318915493,0.901712312,7.70280766,0.129658764
28000,0,0,0,-8.67361738e-19,2.16840434e-18,0.0949242195,0,6.77626358e-20,-0.000342176052,0,0.375018164,0.0433142811,0.272151654,0,0.0483796449,0.0111756162,0.0111756162,0.673298331,0.0946108131,124.07938,0.0949242195,0.000342176052,1.00331259,7.99365831,0.134460941
29000,0,0,0,-8.67361738e-19,1.73472348e-18,0.101947317,5.42101086e-20,1.35525272e-20,-0.00036625107,0,0.37546645,0.0432195727,0.271556584,0,0.0484374766,0.0111511803,0.0111511803,0.675984019,0.0916579803,133.259562,0.101947317,0.00036625107,1.11225795,8.28476087,0.139263117
30000,0,0,0,0,8.67361738e-19,0.109226707,0,4.06575815e-20,-0.000391141504,0,0.37590462,0.043130943,0.270999708,0,0.0484940032,0.0111283128,0.0111283128,0.678559186,0.0888883958,142.774755,0.109226707,0.000391141504,1.22880727,8.5761153,0.144065294
31000,0,0,0,8.67361738e-19,1.73472348e-18,0.116762961,0,6.77626358e-20,-0.000416848411,0,0.376333642,0.0430479352,0.270478154,0,0.0485493497,0.0111068957,0.0111068957,0.681031867,0.0862852652,152.625705,0.116762961,0.000416848411,1.35322017,8.86772126,0.14886747
32000,0,0,0,-8.67361738e-19,2.60208521e-18,0.124556662,5.42101086e-20,8.13151629e-20,-0.000443372953,0,0.376754401,0.0429701433,0.269989373,0,0.0486036302,0.0110868245,0.0110868245,0.683409313,0.0838338029,162.813174,0.124556662,0.000443372953,1.48575703,9.15957862,0.153669647
33000,0,0,0,8.67361738e-19,8.67361738e-19,0.132608389,0,9.48676901e-20,-0.000470716381,0,0.377167662,0.0428972048,0.269531087,0,0.0486569434,0.0110680054,0.0110680054,0.685697985,0.0815209306,173.33792,0.132608389,0.000470716381,1.62667904,9.45168842,0.158471823
34000,0,0,0,0,2.60208521e-18,0.140918738,-5.42101086e-20,5.42101086e-20,-0.000498880038,0,0.37757414,0.0428287949,0.269101255,0,0.0487093816,0.0110503548,0.0110503548,0.687903789,0.0793350471,184.200721,0.140918738,0.000498880038,1.77624824,9.74405111,0.163274
35000,0,0,0,8.67361738e-19,2.60208521e-18,0.149488313,-8.13151629e-20,1.35525272e-19,-0.000527865366,0,0.377974483,0.0427646224,0.268698047,0,0.0487610282,0.0110337975,0.0110337975,0.690032068,0.0772658184,195.402367,0.149488313,0.000527865366,1.93472761,10.036668,0.168076176
36000,0,0,0,0,1.73472348e-18,0.15831773,-5.42101086e-20,1.08420217e-19,-0.0005576739,0,0.378369293,0.0427044251,0.268319816,0,0.0488119611,0.0110182659,0.0110182659,0.692087712,0.0753040122,206.943665,0.15831773,0.0005576739,2.10238107,10.3295401,0.172878353
37000,0,0,0,0,2.60208521e-18,0.167407615,-1.08420217e-19,1.35525272e-19,-0.000588307259,0,0.378759114,0.0426479658,0.267965072,0,0.0488622505,0.0110036987,0.0110036987,0.694075173,0.0734413514,218.82543,0.167407615,0.000588307259,2.27947351,10.6226691,0.177680529
38000,0,0,0,-8.67361738e-19,2.60208521e-18,0.176758596,-8.13151629e-20,1.08420217e-19,-0.000619767151,0,0.379144432,0.0425950294,0.267632463,0,0.0489119588,0.0109900405,0.0109900405,0.695998484,0.0716703914,231.048485,0.176758596,0.000619767151,2.46627084,10.9160569,0.182482705
39000,0,0,0,-1.73472348e-18,4.33680869e-18,0.186371322,-5.42101086e-20,1.08420217e-19,-0.000652055373,0,0.379525712,0.0425454211,0.267320765,0,0.0489611462,0.0109772409,0.0109772409,0.69786139,0.0699844225,243.613677,0.186371322,0.000652055373,2.66304008,11.2097052,0.187284882
40000,0,0,0,-2.60208521e-18,2.60208521e-18,0.196246452,-5.42101086e-20,1.08420217e-19,-0.000685173817,0,0.379903385,0.0424989635,0.267028863,0,0.0490098684,0.0109652543,0.0109652543,0.699667337,0.0683773786,256.521869,0.196246452,0.000685173817,2.87004937,11.5036161,0.192087058
41000,0,0,0,-8.67361738e-19,5.20417043e-18,0.20638465,8.13151629e-20,1.62630326e-19,-0.00071912445,0,0.380277833,0.0424554945,0.266755739,0,0.0490581745,0.0109540387,0.0109540387,0.701419452,0.0668437588,269.773927,0.20638465,0.00071912445,3.08756799,11.7977923,0.196889235
42000,0,0,0,-2.60208521e-18,6.07153217e-18,0.216786604,2.71050543e-20,5.42101086e-20,-0.000753909338,0,0.380649437,0.0424148665,0.266500466,0,0.0491061137,0.0109435562,0.0109435562,0.703120687,0.0653785689,283.370752,0.216786604,0.000753909338,3.31586645,12.0922357,0.201691411
43000,0,0,0,-1.73472348e-18,4.33680869e-18,0.227453,-5.42101086e-20,2.43945489e-19,-0.000789530628,0,0.381018523,0.0423769439,0.266262191,0,0.049153728,0.0109337717,0.0109337717,0.704773706,0.0639772566,297.31324,0.227453,0.000789530628,3.55521652,12.3869494,0.206493588
44000,0,0,0,-1.73472348e-18,3.46944695e-18,0.23838455,0,2.16840434e-19,-0.000825990553,0,0.381385416,0.0423416024,0.266040134,0,0.0492010596,0.0109246532,0.0109246532,0.706381029,0.0626356703,311.602322,0.23838455,0.000825990553,3.80589125,12.6819359,0.211295764
45000,0,0,0,-1.73472348e-18,6.07153217e-18,0.249581973,0,8.13151629e-20,-0.000863291438,0,0.381750415,0.042308728,0.265833578,0,0.0492481466,0.0109161712,0.0109161712,0.707944971,0.0613500115,326.238939,0.249581973,0.000863291438,4.06816506,12.977198,0.216097941
