rpm,v_inf,inflow_angle_deg,inflow_azimuth_deg,Fx_true,Fy_true,Fz_true,Mx_true,My_true,Mz_true,J,Ct,Cq,Cp,eta,CT,CQ,CP,FM,thrust_per_power,disk_loading,thrust,torque,power_shaft,v_induced_mean,tip_mach
27309.072,0,0,0,-4.33680869e-19,1.73472348e-18,0.0902211865,2.71050543e-20,2.71050543e-20,-0.00032601777,0,0.374701974,0.0433835365,0.272586799,0,0.0483388545,0.011193485,0.011193485,0.67137353,0.0967679859,117.931851,0.0902211865,0.00032601777,0.9323454,7.79267448,0.131142982
27309.072,0.5,0,0,-1.30104261e-18,2.60208521e-18,0.0885534915,2.71050543e-20,5.42101086e-20,-0.000325490796,0.0351982073,0.36777579,0.0433134114,0.27214619,0.0475665247,0.0474453342,0.0111753918,0.0111753918,0.653901762,0.0951330494,115.751938,0.0885534915,0.000325490796,0.930838359,7.49152706,0.131151213
27309.072,1,0,0,0,8.67361738e-19,0.0867404134,-2.71050543e-20,5.42101086e-20,-0.000324581696,0.0703964145,0.360245807,0.0431924366,0.271386083,0.0934462553,0.0464739203,0.0111441788,0.0111441788,0.635698068,0.0934462553,113.381988,0.0867404134,0.000324581696,0.928238517,7.19253605,0.131175903
27309.072,1.5,0,0,0,2.16840434e-18,0.084993226,-1.35525272e-20,8.13151629e-20,-0.000323904806,0.105594622,0.352989479,0.0431023621,0.270820128,0.137633014,0.0455378093,0.0111209385,0.0111209385,0.617876623,0.0917553428,111.098167,0.084993226,0.000323904806,0.926302746,6.90436878,0.131217041
27309.072,2,0,0,-8.67361738e-19,2.16840434e-18,0.0829989615,5.42101086e-20,2.71050543e-20,-0.000322616082,0.140792829,0.344707002,0.0429308702,0.269742613,0.179920679,0.044469319,0.0110766915,0.0110766915,0.598639901,0.0899603395,108.491382,0.0829989615,0.000322616082,0.922617254,6.61381228,0.131274614
27309.072,2.5,0,0,-4.33680869e-19,1.30104261e-18,0.0808522403,4.06575815e-20,1.35525272e-20,-0.000321000436,0.175991036,0.335791351,0.0427158745,0.268391755,0.220186599,0.0433191453,0.01102122,0.01102122,0.57846242,0.0880746398,105.685313,0.0808522403,0.000321000436,0.917996832,6.32168465,0.131348598
27309.072,3,0,0,-8.67361738e-19,8.67361738e-19,0.0782461049,0,5.42101086e-20,-0.000317989237,0.211189244,0.324967684,0.0423151709,0.26587406,0.258128526,0.0419228258,0.0109178335,0.0109178335,0.555935434,0.0860428421,102.278726,0.0782461049,0.000317989237,0.909385406,6.01116945,0.131438967
27309.072,3.5,0,0,-8.67361738e-19,2.16840434e-18,0.0755772118,0,0,-0.00031464491,0.246387451,0.313883374,0.0418701378,0.263077834,0.293969747,0.0404928818,0.0108030095,0.0108030095,0.533345055,0.0839913563,98.790105,0.0755772118,0.00031464491,0.899821304,5.70511418,0.131545687
27309.072,4,0,0,0,2.16840434e-18,0.0728449383,-2.71050543e-20,3.38813179e-20,-0.000310947612,0.281585658,0.302535837,0.0413781343,0.259986485,0.327669928,0.0390289799,0.0106760666,0.0106760666,0.510686678,0.0819174819,95.2186371,0.0728449383,0.000310947612,0.889247772,5.40353585,0.131668717
27309.072,4.5,0,0,-1.73472348e-18,2.60208521e-18,0.0700487119,-1.35525272e-20,2.71050543e-20,-0.000306876911,0.316783865,0.290922694,0.0408364417,0.25658293,0.359180618,0.0375308132,0.0105363032,0.0105363032,0.487953797,0.0798179152,91.5635737,0.0700487119,0.000306876911,0.877606383,5.10644502,0.131808013
